                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.565,                 4.8773,                 1.2759,                0.15134,                0.21747,                 0.1024,                0.03133,                 2.3099,                 2.5275,                 1.1923,              0.0033316,              0.0033316,              0.0033316
                      2,                 2.2966,                 3.2528,                 1.1617,                0.20808,                0.34945,                0.16851,                0.05788,                 2.1613,                 2.2704,                 1.1461,              0.0066517,              0.0066517,              0.0066517
                      3,                 2.2971,                 2.7242,                 1.1679,                0.23536,                  0.364,                 0.1847,                0.06415,                 2.2235,                 2.1775,                 1.1874,              0.0099587,              0.0099587,              0.0099587
                      4,                 2.2948,                  2.454,                 1.1782,                0.21438,                0.48394,                 0.2053,                0.07256,                 2.2288,                 2.0837,                 1.1807,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2617,                 2.3005,                 1.1539,                0.23764,                0.51318,                0.22694,                0.07918,                 2.1442,                 2.0341,                 1.1455,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2154,                  2.223,                 1.1462,                0.22114,                 0.4542,                 0.2097,                0.06726,                 2.2256,                 2.0699,                 1.1639,               0.009901,               0.009901,               0.009901
                      7,                 2.1886,                 2.1603,                 1.1421,                0.24789,                0.47567,                0.23211,                 0.0811,                 2.1758,                 2.0054,                 1.1541,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.1756,                 2.1405,                 1.1362,                0.26489,                0.52746,                0.25355,                0.09443,                 2.0583,                 1.9848,                 1.1165,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1555,                 2.1205,                 1.1254,                0.25883,                0.46151,                0.24223,                0.08737,                 2.0851,                 1.9947,                 1.1149,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1409,                 2.0644,                 1.1271,                0.27722,                0.51467,                0.26714,                0.09777,                 2.0048,                 1.9391,                 1.0947,              0.0098218,              0.0098218,              0.0098218
                     11,                  2.133,                 2.0647,                 1.1208,                0.29816,                0.53174,                0.27887,                0.10783,                 2.0312,                 1.8824,                 1.1105,               0.009802,               0.009802,               0.009802
                     12,                 2.1214,                 2.0411,                 1.1161,                0.29601,                0.51848,                0.28073,                 0.1066,                 1.9935,                 1.8984,                 1.0897,              0.0097822,              0.0097822,              0.0097822
