                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1934,                 5.0262,                 1.6399,                0.24232,                0.36061,                0.19389,                0.05896,                 2.4496,                 2.4297,                 1.3317,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.5781,                 2.9969,                 1.3041,                0.26195,                0.45525,                 0.2616,                 0.0889,                 2.3651,                 2.0609,                 1.2789,               0.006648,               0.006648,               0.006648
                      3,                 2.4994,                 2.6144,                 1.2703,                0.12729,                0.30731,                0.09245,                0.02237,                 2.8405,                 2.4255,                 1.3658,               0.009955,               0.009955,               0.009955
                      4,                 2.4317,                 2.3025,                 1.2354,                0.43461,                0.48517,                0.42592,                 0.1411,                 2.2779,                 1.7836,                 1.2093,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3539,                 1.9815,                 1.2003,                0.49208,                0.53523,                0.49176,                  0.163,                 2.1838,                 1.6316,                  1.181,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.3418,                 1.9084,                 1.2016,                0.49772,                0.56658,                0.49352,                0.18393,                 2.1336,                  1.563,                 1.1847,               0.009901,               0.009901,               0.009901
                      7,                 2.3108,                  1.804,                 1.1853,                0.50971,                0.59463,                 0.5305,                0.19894,                 2.0493,                 1.4839,                 1.1452,              0.0098812,              0.0098812,              0.0098812
                      8,                  2.283,                 1.7393,                 1.1691,                0.55015,                0.60323,                0.56643,                 0.1806,                 2.1785,                 1.5151,                 1.1727,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.2675,                 1.6796,                 1.1723,                0.53487,                0.62676,                 0.5601,                0.21144,                 2.0791,                 1.4563,                 1.1522,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.2584,                 1.6477,                 1.1698,                0.57581,                0.67368,                0.60345,                0.22387,                  2.095,                  1.407,                 1.1658,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.2152,                 1.6361,                 1.1589,                0.59493,                0.66671,                0.59916,                0.23027,                 2.0848,                 1.3741,                 1.1563,               0.009802,               0.009802,               0.009802
                     12,                 2.1895,                 1.6089,                 1.1564,                0.56492,                0.62366,                0.58318,                0.21529,                 2.1025,                 1.4702,                 1.1382,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2104,                 1.5772,                  1.152,                0.62452,                0.65164,                0.62136,                0.23221,                 2.0902,                 1.3709,                  1.158,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2085,                 1.5593,                 1.1495,                0.55669,                0.61409,                0.58389,                0.20846,                 2.1166,                 1.4344,                 1.1464,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1911,                   1.55,                 1.1377,                0.63592,                0.68665,                0.65535,                0.25103,                  2.015,                 1.3348,                 1.1266,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1787,                 1.5273,                 1.1291,                0.59801,                0.66169,                0.62245,                0.22733,                 2.0321,                 1.4871,                 1.1161,               0.009703,               0.009703,               0.009703
                     17,                 2.1712,                 1.5542,                 1.1369,                0.62078,                0.65754,                0.65379,                0.24766,                 2.0068,                 1.3851,                 1.1173,              0.0096832,              0.0096832,              0.0096832
                     18,                  2.175,                 1.5481,                 1.1415,                0.55022,                0.67497,                0.63341,                0.23599,                 2.0016,                 1.4197,                 1.1218,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.1704,                 1.5318,                 1.1458,                0.68695,                0.69832,                0.69466,                0.27396,                 1.9533,                 1.3296,                 1.1045,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.1416,                 1.5117,                 1.1274,                0.68436,                0.69475,                0.69033,                0.27883,                 1.9217,                 1.2962,                 1.1064,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.1114,                 1.4663,                 1.1181,                0.65429,                0.71441,                0.65705,                0.27346,                 1.9399,                 1.3255,                 1.1091,               0.009604,               0.009604,               0.009604
                     22,                 2.1094,                 1.4587,                 1.1199,                0.69043,                0.71318,                0.70429,                0.27846,                 1.9852,                 1.3006,                 1.1094,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.1335,                 1.4967,                 1.1218,                0.70869,                0.72909,                0.71519,                0.28272,                 1.9709,                 1.2925,                  1.102,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0881,                 1.4529,                 1.1161,                0.71006,                0.71818,                0.71991,                 0.2949,                 1.9221,                  1.252,                 1.1075,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.0983,                 1.4535,                 1.1116,                0.73633,                0.76439,                0.75061,                0.31489,                 1.8852,                 1.2371,                 1.0851,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.0827,                 1.4417,                 1.1182,                0.67061,                0.65782,                0.69102,                0.26486,                 2.0293,                  1.298,                 1.1115,               0.009505,               0.009505,               0.009505
                     27,                 2.0497,                 1.4031,                 1.0951,                 0.6861,                0.67862,                0.69381,                0.28496,                 1.9077,                 1.3222,                 1.0757,              0.0094852,              0.0094852,              0.0094852
                     28,                 2.0556,                 1.4329,                 1.1012,                0.70291,                0.74973,                0.74064,                0.30976,                 1.8716,                   1.26,                 1.0861,              0.0094654,              0.0094654,              0.0094654
                     29,                 2.0552,                  1.427,                 1.1007,                0.70291,                0.73719,                0.73992,                0.30903,                 1.8335,                 1.2672,                 1.0563,              0.0094456,              0.0094456,              0.0094456
                     30,                 2.0343,                 1.4166,                 1.0997,                0.74225,                0.75679,                0.75721,                0.32027,                 1.8067,                 1.2281,                 1.0515,              0.0094258,              0.0094258,              0.0094258
                     31,                 2.0107,                 1.3855,                   1.09,                0.72973,                0.75837,                0.76143,                0.32901,                 1.8053,                 1.2106,                 1.0643,               0.009406,               0.009406,               0.009406
                     32,                 2.0294,                 1.3965,                  1.094,                0.73006,                0.75692,                0.75744,                0.31685,                 1.8607,                 1.2208,                 1.0678,              0.0093862,              0.0093862,              0.0093862
                     33,                 2.0596,                 1.4111,                 1.1032,                0.70516,                0.71546,                0.73324,                0.30284,                 1.8952,                 1.2442,                 1.0707,              0.0093664,              0.0093664,              0.0093664
                     34,                 2.0229,                 1.3884,                 1.0843,                0.72112,                 0.7415,                0.74857,                0.31197,                 1.8791,                 1.2473,                  1.067,              0.0093466,              0.0093466,              0.0093466
                     35,                 2.0048,                 1.3715,                 1.0847,                0.73978,                0.75508,                0.75378,                0.33108,                 1.7503,                 1.2518,                 1.0388,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.9872,                 1.3865,                 1.0852,                0.74172,                0.76913,                0.76391,                0.33202,                 1.7729,                 1.1974,                 1.0561,               0.009307,               0.009307,               0.009307
                     37,                 1.9636,                 1.3472,                  1.077,                0.73799,                0.72688,                 0.7518,                0.32538,                 1.8126,                 1.2212,                 1.0596,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.9812,                 1.3681,                 1.0786,                0.71834,                0.71569,                0.72446,                0.31662,                 1.8097,                 1.2298,                 1.0541,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.9748,                 1.3663,                 1.0703,                0.76256,                0.77579,                0.78128,                0.34026,                 1.8236,                 1.1581,                  1.076,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.9836,                   1.37,                 1.0742,                0.75796,                0.76988,                0.78344,                0.34369,                  1.765,                 1.1931,                 1.0488,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.9785,                 1.3864,                 1.0723,                0.73034,                0.71794,                0.75376,                0.32282,                 1.8344,                  1.205,                  1.069,               0.009208,               0.009208,               0.009208
                     42,                 1.9556,                  1.359,                 1.0757,                0.77516,                0.77308,                0.78752,                0.34007,                  1.805,                 1.1593,                  1.063,              0.0091882,              0.0091882,              0.0091882
                     43,                  1.975,                 1.3565,                 1.0777,                 0.7564,                0.75696,                0.77378,                0.33357,                 1.8481,                 1.1627,                 1.0798,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.9795,                 1.3475,                 1.0758,                0.74702,                0.75549,                0.76689,                0.33699,                 1.7717,                 1.2221,                 1.0417,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.9663,                 1.3483,                   1.07,                0.73662,                0.76876,                0.76732,                0.33235,                 1.8009,                 1.1963,                 1.0529,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.9588,                 1.3825,                 1.0601,                0.74492,                0.75672,                0.77875,                0.33777,                 1.8023,                 1.1767,                 1.0629,               0.009109,               0.009109,               0.009109
                     47,                 1.9496,                 1.3442,                 1.0648,                0.75012,                0.78467,                0.77929,                0.33386,                 1.8469,                   1.17,                 1.0765,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.9339,                 1.3239,                 1.0561,                0.74183,                0.75594,                0.77222,                 0.3425,                 1.7882,                 1.1826,                 1.0462,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.9572,                 1.3392,                 1.0651,                 0.7684,                 0.7865,                0.79385,                0.35959,                 1.7024,                  1.173,                 1.0251,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.9457,                 1.3362,                 1.0667,                0.76747,                0.77507,                0.79335,                0.35292,                 1.7651,                 1.1663,                 1.0471,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.9618,                 1.3548,                 1.0675,                0.77102,                0.77331,                0.79075,                0.35845,                  1.714,                 1.1754,                 1.0306,                0.00901,                0.00901,                0.00901
                     52,                 1.9464,                 1.3388,                 1.0615,                0.74898,                0.75561,                0.77603,                0.34564,                 1.7536,                 1.1845,                 1.0392,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.9026,                 1.3219,                 1.0603,                0.76775,                0.77678,                0.79786,                0.35645,                 1.7351,                 1.1706,                 1.0438,              0.0089704,              0.0089704,              0.0089704
                     54,                  1.952,                 1.3402,                 1.0564,                 0.7615,                0.77754,                0.78829,                0.34666,                 1.7406,                 1.1905,                 1.0363,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.9223,                 1.3108,                 1.0599,                0.77651,                0.77413,                0.78804,                0.35063,                 1.7563,                 1.1584,                 1.0384,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.9117,                 1.3162,                 1.0626,                0.75773,                0.76236,                0.78656,                0.34158,                 1.8154,                 1.1634,                 1.0698,               0.008911,               0.008911,               0.008911
                     57,                 1.9329,                 1.3164,                 1.0501,                0.77593,                 0.7885,                 0.7974,                0.36334,                 1.7013,                 1.1549,                 1.0273,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.9019,                 1.3121,                 1.0503,                0.76873,                0.78947,                  0.799,                0.35272,                 1.7885,                 1.1455,                 1.0583,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.9071,                 1.3082,                  1.051,                 0.7681,                 0.7777,                0.79221,                0.35516,                 1.7519,                 1.1563,                 1.0473,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.8898,                 1.3078,                  1.051,                 0.7667,                 0.7668,                0.78785,                0.35472,                 1.7468,                 1.1738,                 1.0419,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.8935,                 1.3201,                 1.0575,                0.76599,                0.78122,                0.79138,                0.36013,                 1.7152,                 1.1461,                 1.0286,               0.008812,               0.008812,               0.008812
                     62,                 1.8903,                 1.2972,                 1.0456,                0.76857,                0.75959,                0.78658,                  0.351,                 1.7628,                 1.1529,                  1.049,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.8848,                 1.3043,                 1.0474,                0.76819,                0.77874,                0.79471,                0.36242,                 1.7187,                 1.1618,                 1.0378,              0.0087724,              0.0087724,              0.0087724
                     64,                  1.886,                 1.3099,                  1.058,                0.76503,                0.78388,                0.80113,                0.36633,                 1.7307,                 1.1331,                 1.0448,              0.0087526,              0.0087526,              0.0087526
                     65,                   1.89,                 1.2975,                 1.0521,                0.75877,                0.73637,                0.78038,                0.34434,                 1.7384,                 1.1618,                 1.0409,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.8553,                 1.2984,                   1.04,                0.76049,                0.75336,                0.78612,                0.36059,                 1.6886,                 1.1611,                 1.0269,               0.008713,               0.008713,               0.008713
                     67,                 1.8513,                 1.2935,                 1.0396,                0.77626,                0.76151,                0.79665,                0.36553,                 1.6877,                 1.1506,                 1.0311,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.855,                 1.2768,                 1.0465,                0.78813,                0.77185,                0.80023,                0.36355,                 1.7456,                 1.1347,                 1.0447,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.8651,                 1.2833,                 1.0435,                0.78071,                0.80218,                0.80926,                0.37392,                 1.7092,                 1.1181,                 1.0337,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.8834,                 1.2923,                  1.049,                0.78013,                0.77197,                0.79975,                0.35859,                 1.7543,                 1.1358,                 1.0453,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.8747,                 1.2923,                 1.0452,                0.78645,                0.80321,                0.81131,                 0.3607,                 1.8011,                 1.0827,                 1.0656,               0.008614,               0.008614,               0.008614
                     72,                 1.8601,                 1.3128,                  1.045,                0.77051,                0.76534,                0.79145,                0.35785,                 1.7185,                 1.1565,                 1.0339,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.8471,                 1.2826,                 1.0416,                0.78941,                0.77311,                0.80792,                0.37116,                 1.6994,                 1.1232,                 1.0329,              0.0085744,              0.0085744,              0.0085744
