                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6643,                 6.1411,                 1.3429,                 0.2509,                0.17686,                0.10338,                0.03243,                 2.2299,                 2.6373,                 1.2518,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.4031,                 3.4676,                 1.2509,                0.13239,                0.28485,                0.12233,                0.03777,                   2.14,                 2.4215,                 1.2073,              0.0066523,              0.0066523,              0.0066523
                      3,                 2.3947,                 2.7577,                 1.2493,                0.17143,                0.24746,                0.11912,                0.03851,                  2.285,                 2.4042,                  1.285,              0.0099593,              0.0099593,              0.0099593
                      4,                 2.3963,                  2.549,                 1.2503,                0.11691,                0.28411,                 0.0897,                0.02729,                 2.3435,                 2.4866,                 1.2757,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3301,                 2.4262,                 1.2293,                0.21923,                0.34766,                0.19496,                0.06773,                 2.1082,                 2.1581,                 1.2143,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2811,                 2.3361,                 1.2117,                0.29708,                  0.355,                0.26052,                0.09183,                 2.0428,                  2.088,                 1.1903,               0.009901,               0.009901,               0.009901
                      7,                 2.2509,                 2.2702,                 1.2008,                 0.2902,                 0.3626,                0.25847,                 0.0939,                 2.0151,                 2.0674,                 1.1821,              0.0098812,              0.0098812,              0.0098812
                      8,                  2.218,                 2.2174,                 1.1867,                0.33012,                0.39458,                0.29254,                 0.1143,                 1.9793,                 2.0189,                 1.1646,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1945,                 2.1784,                 1.1758,                0.29389,                0.41235,                0.28375,                0.10724,                 1.9156,                  2.013,                 1.1422,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1599,                 2.1331,                 1.1654,                0.34627,                0.41399,                0.32737,                0.12338,                  1.951,                 1.9572,                 1.1529,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1317,                 2.1176,                 1.1594,                0.36797,                0.44016,                0.35168,                0.13607,                 1.9262,                 1.8952,                 1.1421,               0.009802,               0.009802,               0.009802
                     12,                 2.1148,                  2.088,                   1.15,                0.34716,                0.41949,                0.32677,                0.12906,                  1.918,                 1.9349,                 1.1412,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.0821,                 2.0598,                 1.1433,                0.34762,                 0.4478,                0.34667,                0.14047,                 1.8449,                 1.8849,                 1.1127,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.0681,                 2.0601,                 1.1413,                0.33102,                 0.4272,                0.32966,                0.13194,                 1.8697,                  1.899,                 1.1265,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.0596,                 2.0409,                 1.1355,                0.36361,                0.46432,                 0.3668,                0.14902,                 1.8142,                 1.8689,                 1.1057,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0289,                 2.0157,                  1.129,                0.37368,                0.45694,                0.36908,                0.14982,                 1.7946,                 1.8456,                 1.1046,               0.009703,               0.009703,               0.009703
                     17,                 2.0355,                 2.0241,                 1.1275,                0.37333,                0.48336,                0.38308,                0.16003,                 1.7635,                 1.8105,                 1.0937,              0.0096832,              0.0096832,              0.0096832
